Year Range,Projection,Background Points,Variable Group,TSS
2011-2040,ssp 126,10k,1,0.1968
2011-2040,ssp 126,10k,2,0.1311
2011-2040,ssp 126,10k,3,0.2155
2011-2040,ssp 126,10k,4,0.1049
2011-2040,ssp 126,10k,5,0.2552
2011-2040,ssp 126,10k,6,0.4806
2011-2040,ssp 126,10k,7,0.1961
2011-2040,ssp 126,1k,1,0.406
2011-2040,ssp 126,1k,2,0.3394
2011-2040,ssp 126,1k,3,0.2733
2011-2040,ssp 126,1k,4,0.2659
2011-2040,ssp 126,1k,5,0.4351
2011-2040,ssp 126,1k,6,0.3898
2011-2040,ssp 126,1k,7,0.2388
2011-2040,ssp 585,10k,1,0.1872
2011-2040,ssp 585,10k,2,0.1538
2011-2040,ssp 585,10k,3,0.1375
2011-2040,ssp 585,10k,4,0.128
2011-2040,ssp 585,10k,5,0.2257
2011-2040,ssp 585,10k,6,0.5573
2011-2040,ssp 585,10k,7,0.1961
2011-2040,ssp 585,1k,1,0.4012
2011-2040,ssp 585,1k,2,0.2926
2011-2040,ssp 585,1k,3,0.2881
2011-2040,ssp 585,1k,4,0.2581
2011-2040,ssp 585,1k,5,0.5955
2011-2040,ssp 585,1k,6,0.1486
2011-2040,ssp 585,1k,7,0.2388
2041-2070,ssp 126,10k,1,0.1889
2041-2070,ssp 126,10k,2,0.1837
2041-2070,ssp 126,10k,3,0.1383
2041-2070,ssp 126,10k,4,0.1303
2041-2070,ssp 126,10k,5,0.2781
2041-2070,ssp 126,10k,6,0.1155
2041-2070,ssp 126,10k,7,0.1961
2041-2070,ssp 126,1k,1,0.3772
2041-2070,ssp 126,1k,2,0.3669
2041-2070,ssp 126,1k,3,0.3065
2041-2070,ssp 126,1k,4,0.2871
2041-2070,ssp 126,1k,5,0.4529
2041-2070,ssp 126,1k,6,0.1186
2041-2070,ssp 126,1k,7,0.2388
2041-2070,ssp 585,10k,1,0.1752
2041-2070,ssp 585,10k,2,0.169
2041-2070,ssp 585,10k,3,0.1139
2041-2070,ssp 585,10k,4,0.2084
2041-2070,ssp 585,10k,5,0.1925
2041-2070,ssp 585,10k,6,0.4948
2041-2070,ssp 585,10k,7,0.1961
2041-2070,ssp 585,1k,1,0.4108
2041-2070,ssp 585,1k,2,0.3297
2041-2070,ssp 585,1k,3,0.2502
2041-2070,ssp 585,1k,4,0.3208
2041-2070,ssp 585,1k,5,0.2912
2041-2070,ssp 585,1k,6,0.3973
2041-2070,ssp 585,1k,7,0.2388
Current,None,1k,1,0.48
Current,None,1k,2,0.3594
Current,None,1k,3,0.3754
Current,None,1k,4,0.3526
Current,None,1k,5,0.5322
Current,None,1k,6,0.3855
Current,None,1k,7,0.1906
Current,None,10k,1,0.1465
Current,None,10k,2,0.1193
Current,None,10k,3,0.1767
Current,None,10k,4,0.1558
Current,None,10k,5,0.2128
Current,None,10k,6,0.2469
Current,None,10k,7,0.1355
